         #NAME          Project      D_L    Sanders(25) Sanders(60) Sanders(100)   111-000      err      L_{IR}       err      211-202      err       L_{IR}       err      202-111      err      L_{IR}       err      312-303      err      L_{IR}       err      321-312      err       L_{IR}      err       220-211      err      L_{IR}       err      422-413      err      L_{IR}       err      523-514      err      L_{IR}       err    
      #freq(GHz)          --         --        25µm        60µm        100µm      1113.3430  1113.3430  R(100µm)   R(100µm)   752.0332   752.0332    R(100µm)   R(100µm)   987.9268   987.9268   R(100µm)   R(100µm)   1097.3648  1097.3648  R(100µm)   R(100µm)   1162.9116  1162.9116  R(100µm)    R(100µm)    1228.7888  1228.7888  R(100µm)   R(100µm)   1207.6387  1207.6387  R(100µm)   R(100µm)   1410.6181  1410.6181  R(100µm)    R(100µm)  
 #(sources list/Units)    --         Mpc       Jy          Jy          Jy         10^6L_sun  10^6L_sun  10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun   10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun  10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun  10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun  10^11L_sun  10^11L_sun  10^6L_sun  10^6L_sun  10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun  10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun  10^11L_sun  10^11L_sun
       #T_ex(K)           --         --        --          --           --        53         --         --         --         137         --         --         --         101        --         --         --         249        --         --          --        305        --         --          --          196        --         --         --         454        --         --         --         642        --         --         --      
        NGC1266         ngc1266     29.86      1.20        13.13       16.89      NaN        NaN        NaN        NaN        0.3043      0.0578     0.2884     0.0577     0.6045     0.1208     0.2884     0.0577     0.4570     0.0968     0.2884     0.0577     0.7496      0.0880    0.2884      0.0577      0.3585     0.0809     0.2884     0.0577     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
          M82             VNGs       3.63    332.63      1480.42     1373.69      NaN        NaN        NaN        NaN        0.0237      0.0121     0.3265     0.0672     0.0171     0.0122     0.2212     0.0459     0.0142     0.0091     0.2025     0.0421     NaN         NaN       NaN         NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
        NGC7582         Seyfert     21.29      7.39        52.20       82.96      NaN        NaN        0.1720     0.0597     0.0869      0.0267     0.4062     0.1279     0.1517     0.0656     0.2017     0.0693     NaN        NaN        NaN        NaN        NaN         NaN       NaN         NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
      NGC1365-NE          van       17.93     14.28        94.31      165.67      0.0850     0.0509     0.4173     0.1041     0.1446      0.0391     0.5802     0.1399     0.2083     0.0635     0.4453     0.1103     0.2057     0.0390     0.4283     0.1063     0.1443      0.0464    0.4151      0.1037      0.1122     0.0535     0.4126     0.1028     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
      NGC1365-SW          van       17.93     14.28        94.31      165.67      0.1289     0.0410     0.1878     0.0529     0.1201      0.0483     0.4090     0.1022     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN       NaN         NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
        NGC7552           van       21.44     11.92        77.37      102.92      0.1634     0.0719     0.7143     0.1866     0.1546      0.0504     0.8343     0.2147     0.3125     0.0944     0.8489     0.2181     NaN        NaN        NaN        NaN        NaN         NaN       NaN         NaN         0.1575     0.0563     0.7106     0.1861     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
      ESO320-G030         van       37.70      2.28        34.38       46.28      NaN        NaN        NaN        NaN        0.9098      0.0958     1.4791     0.2958     1.2735     0.1905     1.4791     0.2958     1.0544     0.1296     1.4791     0.2958     1.8140      0.1619    1.4791      0.2958      0.9925     0.2598     1.4791     0.2958     1.0817     0.2367     1.4791     0.2958     0.6029     0.1185     1.4791     0.2958   
        NGC5135           van       52.15      2.38        16.86       30.97      1.0893     0.3794     1.1457     0.4245     0.3827      0.1488     1.2844     0.4701     1.3079     0.5171     1.3124     0.4724     0.7120     0.2972     1.1502     0.4300     NaN         NaN       1.1407      0.4250      0.7819     0.2638     1.1289     0.4193     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
      CGCG049-057         van       59.06      0.95        21.89       31.53      NaN        NaN        NaN        NaN        1.6083      0.2044     1.8621     0.5586     2.8699     0.4943     1.8621     0.5586     2.4266     0.4021     1.8621     0.5586     3.7675      0.2858    1.8621      0.5586      1.4547     0.5273     1.8621     0.5586     1.8906     0.5204     1.8621     0.5586     1.1898     0.3312     1.8621     0.5586   
        NGC1068          VNGs       13.70     87.57       196.37      257.37      0.2181     0.0507     0.5822     0.1432     0.2123      0.0446     1.0262     0.2379     0.3556     0.0459     0.6478     0.1573     0.2492     0.0510     0.5964     0.1460     0.3229      0.0409    0.5757      0.1419      0.2604     0.0506     0.5620     0.1393     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
        IC4734           GOALS      68.57      1.33        14.04       25.31      NaN        NaN        NaN        NaN        1.5204      0.6003     1.9953     0.3991     NaN        NaN        NaN        NaN        1.8377     0.7685     1.9953     0.3991     2.2418      0.9383    1.9953      0.3991      2.9467     0.9017     1.9953     0.3991     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
      ESO173-G015         van       32.44      7.56        81.44      100.04      NaN        NaN        NaN        NaN        0.9789      0.1284     1.9836     0.6839     1.5730     0.2930     1.7566     0.6104     1.2629     0.1583     1.7193     0.5998     2.1000      0.2130    1.7005      0.5923      1.7059     0.2498     1.6782     0.5838     0.8711     0.3751     1.6782     0.5838     0.5807     0.1690     1.6663     0.5812   
        NGC7771           van       57.11      2.71        19.67       40.12      NaN        NaN        NaN        NaN        0.6286      0.2200     1.5690     0.5495     1.6693     0.5853     1.6608     0.5690     NaN        NaN        NaN        NaN        0.7548      0.2105    1.2558      0.4547      NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
    IRAS17578-0400       GOALS      58.62      1.14        27.69       33.10      NaN        NaN        NaN        NaN        1.3112      0.3633     2.2387     0.6716     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        3.4703      0.6434    2.2387      0.6716      3.0550     0.1596     2.2387     0.6716     0.8711     0.3751     2.2387     0.6716     2.2204     0.6023     2.2387     0.6716   
        NGC7130         Seyfert     65.99      2.16        16.71       25.89      NaN        NaN        NaN        NaN        1.0413      0.2574     2.0674     0.8131     2.4447     0.5628     2.1185     0.8457     1.2923     0.4162     1.7919     0.7291     1.6796      0.4272    1.7667      0.7180      1.7526     0.3698     1.7374     0.7057     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
     MCG+08-11-002       GOALS      77.22      1.08        14.03       24.82      NaN        NaN        NaN        NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN       NaN         NaN         3.0962     1.2472     1.9250     0.7138     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
        Mrk331            van       70.46      2.54        18.00       22.70      NaN        NaN        NaN        NaN        0.8920      0.2509     2.5704     0.5141     1.2499     0.4583     2.5704     0.5141     NaN        NaN        NaN        NaN        1.1115      0.3303    2.5704      0.5141      0.8625     0.3056     2.5704     0.5141     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
     MCG+12-02-001        van       64.28      3.51        21.92       29.11      NaN        NaN        NaN        NaN        0.4676      0.1778     2.2534     0.8289     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        0.6192      0.2217    1.5291      0.6087      NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
        IC5298           GOALS     108.19      1.95         9.06       11.99      NaN        NaN        NaN        NaN        2.8136      1.0555     3.4674     0.6935     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN       NaN         NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
        NGC2623           van       77.43      1.81        23.74       25.88      NaN        NaN        NaN        NaN        2.0020      0.2763     3.4674     0.6935     2.4383     0.4230     3.4674     0.6935     2.2370     0.3807     3.4674     0.6935     3.6760      0.4133    3.4674      0.6935      2.8466     0.5916     3.4674     0.6935     1.4596     0.8929     3.4674     0.6935     NaN        NaN        NaN        NaN    
    IRASF01417+1651      GOALS     106.96      1.03        13.25       14.30      NaN        NaN        NaN        NaN        4.0617      1.2468     3.6308     1.0892     4.0617     1.2468     3.6308     1.0892     5.4592     1.6160     3.6308     1.0892     7.7527      1.1525    3.6308      1.0892      5.2207     1.7220     3.6308     1.0892     3.4548     1.3121     3.6308     1.0892     NaN        NaN        NaN        NaN    
        NGC3256           van       35.35     15.69       102.63      114.31      0.7371     0.1959     2.4472     0.6166     NaN         NaN        NaN        NaN        0.5781     0.2806     2.5672     0.6447     NaN        NaN        NaN        NaN        0.7615      0.3187    2.4313      0.6140      0.4659     0.2323     2.4218     0.6124     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
        NGC7469           van       65.23      5.96        27.33       35.16      1.8065     0.4773     3.8905     0.7781     1.2357      0.5271     3.8905     0.7781     1.4599     0.6872     3.8905     0.7781     NaN        NaN        NaN        NaN        NaN         NaN       NaN         NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
        Arp193            van       99.99      1.42        17.04       24.38      NaN        NaN        NaN        NaN        1.0973      0.2954     4.6774     0.9355     2.5139     0.6809     4.6774     0.9355     1.6447     0.4758     4.6774     0.9355     1.9907      0.5280    4.6774      0.9355      1.9971     0.4850     4.6774     0.9355     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
      ESO099-G004        GOALS     123.07      1.46        10.30       13.65      NaN        NaN        NaN        NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        4.7295      1.5845    4.6774      0.9355      NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
        VV340A           GOALS     139.36      0.14         6.95       15.16      NaN        NaN        NaN        NaN        NaN         NaN        NaN        NaN        4.2232     1.7475     4.3422     2.3679     NaN        NaN        NaN        NaN        NaN         NaN       NaN         NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
    IRASF18293-3413       van       77.76      3.98        35.71       53.38      NaN        NaN        NaN        NaN        1.5296      0.5155     6.4565     1.2913     3.0740     1.0056     6.4565     1.2913     NaN        NaN        NaN        NaN        NaN         NaN       NaN         NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
        NGC6240           van      103.86      3.55        22.94       26.49      NaN        NaN        NaN        NaN        4.9901      1.0939     7.0795     1.4159     6.3970     1.5610     7.0795     1.4159     4.8163     1.4328     7.0795     1.4159     4.7941      1.2791    7.0795      1.4159      5.5197     1.8657     7.0795     1.4159     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
       Arp299-A           van       47.74     24.51       113.05      111.42      NaN        NaN        NaN        NaN        1.3140      0.2556     5.4134     1.3800     2.3737     0.4772     5.7374     1.4475     2.0872     0.3423     3.9665     1.0674     3.1930      0.3737    3.9130      1.0513      1.6160     1.1860     3.8513     1.0336     1.5751     0.5240     3.8154     1.0287     1.6565     1.2933     3.8049     1.0273   
       Arp299-B           van       47.74     24.51       113.05      111.42      NaN        NaN        NaN        NaN        NaN         NaN        NaN        NaN        1.3096     0.5921     4.4078     1.1262     0.8295     0.3039     2.1776     0.6264     0.7788      0.3266    2.1189      0.6113      NaN        NaN        NaN        NaN        0.9269     0.3278     2.0267     0.5901     NaN        NaN        NaN        NaN    
       Arp299-C           van       47.74     24.51       113.05      111.42      NaN        NaN        NaN        NaN        NaN         NaN        NaN        NaN        1.5241     0.6233     4.4075     1.1281     NaN        NaN        NaN        NaN        0.8993      0.3237    1.9833      0.5840      NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
     ESO069-IG006        GOALS     188.61      0.71         7.08       12.68      NaN        NaN        NaN        NaN        4.5233      1.8180     8.3176     1.6635     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN       NaN         NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
       UGC05101          GOALS     158.61      1.02        11.68       19.91      NaN        NaN        NaN        NaN        5.7193      1.3852     8.9125     2.6738     6.9439     2.4624     8.9125     2.6738     NaN        NaN        NaN        NaN       10.6201      3.1713    8.9125      2.6738      NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
